Tipo	Pregunta	Gold standard	Respuesta bot	Score		Aluc.	Comentario juez
cobertura	¿MutuaLyF cubre a mi familia o solo a mí como afiliado?	MutuaLyF brinda cobertura médico-asistencial a los trabajadores del Sindicato de Luz	No encontré esa información en los documentos disponibles. Te recomiendo consultar di	2.0	❌	bajo	El bot no alucinó ni inventó datos, pero fue completamente evasivo al no responder un
general	¿Desde cuándo existe MutuaLyF?	MutuaLyF fue fundada en 1999 como institución de servicios de salud para trabajadores	MutuaLyF inició sus actividades en 1999.	4.3	✅	bajo	La respuesta es correcta en el dato clave (año 1999) pero omite el contexto instituci
general	¿Qué servicios ofrece MutuaLyF además de atención médica?	MutuaLyF ofrece servicios de salud orientados a cuidar, prevenir y promover el bienes	MutuaLyF ofrece los siguientes servicios además de atención médica: - Programa Mater	4.0	⚠️	medio	La respuesta es detallada y relevante, pero lista servicios específicos que no están
contacto	¿Cuál es el teléfono gratuito para llamar a la mutual?	El teléfono gratuito es el 0800 777 4413, disponible de lunes a viernes de 7:30 a 19:	El teléfono gratuito para llamar a la mutual es el 0800 777 4413, disponible de lunes	5.0	✅	bajo	La respuesta del bot es prácticamente idéntica al ground truth, incluyendo todos los
horarios	¿Hasta qué hora atienden en la sede de la mutual de manera presencial?	La atención presencial es de lunes a viernes de 8:00 a 15:00 horas en los Boxes 1 a 3	La atención presencial en la sede de la mutual es de lunes a viernes de 8:00 a 15:00	4.5	✅	bajo	La respuesta es correcta y responde exactamente lo preguntado sobre el horario, pero
contacto	¿Puedo comunicarme por WhatsApp con la mutual y cómo funciona?	Sí, el WhatsApp general es +54 9 342 429-1192, pero solo acepta chat escrito. No está	Sí, puedes comunicarte por WhatsApp con la mutual. El número es +54 9 342 429-1192, p	4.0	⚠️	medio	El bot responde correctamente el núcleo de la pregunta pero agrega números de WhatsAp
app	¿Dónde puedo entrar a mi cuenta de MutuaLyF para ver mis datos?	Podés acceder al Portal de autogestión Mi MutuaLyF en https://www.luzyfuerza.org.ar/m	Puedes acceder a tu cuenta de MutuaLyF a través del portal Mi MutuaLyF en este enlace	4.3	⚠️	medio	La respuesta incluye el enlace correcto pero agrega información sobre una App móvil (
app	¿Qué puedo hacer desde el portal de Mi MutuaLyF?	Mi MutuaLyF es un portal de autogestión donde podés gestionar tu cuenta y consultar i	Desde el portal de Mi MutuaLyF, puedes: 1. Solicitar órdenes médicas. 2. Consultar e	3.3	❌	alto	El bot responde con detalle y aparente utilidad, pero inventa funcionalidades específ
general	¿Existe algún acceso especial para los médicos y clínicas que atienden a MutuaLyF?	Sí, los prestadores pueden acceder a través de https://luzyfuerzasantafe.com.ar/mi-mu	Sí, los prestadores de servicios médicos tienen acceso a una plataforma específica pa	5.0	✅	bajo	La respuesta del bot es completa, correcta y coincide exactamente con el ground truth
cobertura	¿Puedo elegir cualquier médico o tengo restricciones?	Sí, podés elegir libremente tu médico entre el 99% del Padrón del Colegio de Médicos.	Los afiliados pueden elegir libremente su médico entre el 99% del Padrón del Colegio	4.3	✅	bajo	La respuesta es correcta y fiel a los datos reales, pero omite mencionar el Centro Mé
tramite	¿Cómo pido una orden médica para atenderme?	Podés solicitar órdenes médicas de dos formas: a través del portal Mi MutuaLyF o de m	Las órdenes médicas se pueden solicitar a través del portal Mi MutuaLyF, desde la apl	4.25	⚠️	medio	La respuesta es completa y relevante, pero agrega datos no verificables en el ground
cobertura	¿Qué especialidades médicas están cubiertas?	MutuaLyF cubre múltiples especialidades en su Centro Médico propio. Además, las prest	El Centro Médico de MutuaLyF cuenta con profesionales en las siguientes especialidade	4.5	⚠️	medio	La respuesta es muy completa y detallada, superando al ground truth con una lista ext
app	¿Dónde descargo la app FARMA para ver qué medicamentos cubre la mutual?	Podés descargar la app FARMA desde Google Play (https://play.google.com/store/apps/de	Puedes descargar la app FARMA desde: - Google Play: [FARMA en Google Play](https://p	4.8	✅	bajo	La respuesta es correcta y completa en los datos esenciales (ambos links correctos),
app	¿Qué puedo hacer en la app FARMA? ¿Puedo ver mis recetas y medicamentos ahí?	Sí, en la app FARMA tenés varias secciones: Cobertura (buscás el medicamento y ves si	En la app FARMA puedes hacer lo siguiente: - Buscar medicamentos prescriptos y verif	4.0	⚠️	medio	La respuesta cubre bien las funciones principales de FARMA pero agrega detalles no ve
tramite	¿Cómo inicio un trámite de medicamento crónico? ¿Puedo hacerlo yo desde la app?	No, vos no podés iniciar el trámite de medicamentos crónicos por tu cuenta. Tenés que	Las fichas de tratamientos prolongados para medicamentos crónicos deben ser iniciadas	4.3	⚠️	medio	La respuesta es completa y relevante, pero agrega 'Mi MutuaLyF' como canal de seguimi
general	¿Todavía puedo usar recetas en papel en MutuaLyF?	No, las recetas en papel fueron eliminadas definitivamente a partir de junio de 2024.	A partir de junio de 2024, se eliminó definitivamente la receta médica en formato pap	4.0	⚠️	medio	La respuesta es relevante y correcta en lo esencial, pero agrega información no verif
general	Si tengo un tratamiento crónico, ¿cuántas recetas me puede dar el médico en una consu	El médico puede emitir hasta tres recetas por consulta para tratamientos crónicos vig	El médico puede emitir hasta tres recetas por consulta para pacientes con tratamiento	3.8	⚠️	medio	El bot responde correctamente el dato central (hasta 3 recetas por consulta), pero om
general	¿Cuál es la ventaja de que el médico me dé tres recetas juntas si tengo una enfermeda	La ventaja es que evitás visitas innecesarias al consultorio. Al recibir tres recetas	La ventaja de que el médico te dé hasta tres recetas juntas es que evita visitas inne	4.8	✅	bajo	La respuesta del bot cubre correctamente la ventaja principal (evitar visitas inneces
app	¿Dónde puedo sacar mis órdenes médicas ahora?	Las órdenes médicas se gestionan de forma digital a través del portal Mi MutuaLyF. La	Las órdenes médicas se gestionan de forma digital a través del portal Mi MutuaLyF o d	3.5	⚠️	medio	El bot responde la pregunta correctamente en cuanto al portal digital, pero agrega in
app	¿Cómo accedo al portal para gestionar mis órdenes?	Podés acceder al portal Mi MutuaLyF ingresando a https://luzyfuerzasantafe.com.ar/mi-	Puedes acceder al portal para gestionar tus órdenes médicas a través de Mi MutuaLyF W	3.0	❌	alto	El bot responde la pregunta pero proporciona una URL incorrecta (luzyfuerza.org.ar en
general	¿Todavía dan órdenes de papel o ya no?	No, las órdenes impresas en papel dejaron de emitirse en octubre de 2024. Ahora solo	A partir del 1 de octubre de 2024, ya no se emiten órdenes médicas en formato papel.	4.3	⚠️	medio	La respuesta es relevante y completa, pero agrega información no verificable en el gr
app	¿Dónde puedo sacar una orden médica sin ir a la oficina?	Podés solicitar órdenes médicas a través del portal Mi MutuaLyF Web en https://www.lu	Puedes solicitar una autorización médica a través del portal Mi MutuaLyF (https://www	4.0	⚠️	medio	La respuesta es relevante y completa, pero agrega canales alternativos (app móvil y W
app	¿Con qué puedo pagar en Mi MutuaLyF Web?	En Mi MutuaLyF Web podés pagar con tarjeta de débito, tarjeta de crédito, billetera M	En Mi MutuaLyF Web puedes pagar con: - Tarjeta de débito - Tarjeta de crédito - Bill	5.0	✅	bajo	La respuesta del bot cubre todos los medios de pago mencionados en el ground truth, i
app	¿Puedo consultar mis autorizaciones médicas desde el celular o la computadora?	Sí, podés consultar el estado de tus autorizaciones a través del portal Mi MutuaLyF W	Sí, puedes consultar tus autorizaciones médicas desde el celular o la computadora a t	3.3	⚠️	medio	El bot responde correctamente que sí es posible consultar autorizaciones de forma dig
app	¿Dónde puedo descargar la app Mi MutuaLyF?	Podés descargar Mi MutuaLyF desde Google Play si tenés Android (https://play.google.c	Puedes descargar la app Mi MutuaLyF desde los siguientes enlaces: - Para Android: [G	5.0	✅	bajo	La respuesta del bot es completamente correcta, incluye ambos enlaces exactos del gro
app	¿Qué puedo hacer desde la app Mi MutuaLyF?	Desde Mi MutuaLyF podés sacar turnos, reservar citas, pagar de manera digital, gestio	Desde la app Mi MutuaLyF puedes: 1. Solicitar órdenes médicas. 2. Gestionar la emisi	3.8	⚠️	medio	El bot responde con formato claro e incluye funciones correctas, pero agrega ítems no
app	¿La app Mi MutuaLyF está disponible para iPhone?	Sí, Mi MutuaLyF está disponible para iPhone. Podés descargarla desde App Store en est	Sí, la app Mi MutuaLyF está disponible para iPhone. Puedes descargarla desde la App S	4.3	⚠️	medio	La respuesta es correcta en su contenido pero omite el link directo a la App Store, q
horarios	¿Hasta qué hora atienden en la sede de MutuaLyF?	La atención presencial en la sede de Junín 2961, Santa Fe, es de lunes a viernes de 8	La sede de MutuaLyF atiende de lunes a viernes de 8:00 a 15:00 horas.	4.3	✅	bajo	La respuesta es correcta en el dato clave del horario pero omite la dirección (Junín
contacto	¿Cuál es el número de teléfono para solicitar una autorización?	Para consultas sobre autorizaciones podés llamar al 0342 452 0074 / 75, internos 1877	El número de teléfono para solicitar una autorización es 0342 452 0074 / 75, internos	4.5	✅	bajo	La respuesta es correcta y relevante pero omite el canal de WhatsApp disponible para
tramite	¿Puedo pagar el coseguro en la sede y en qué horario?	Sí, el pago del coseguro en forma presencial se realiza en efectivo en la sede de Jun	Sí, el pago del coseguro se puede realizar en la sede de Junín 2961, Santa Fe, en efe	4.5	✅	bajo	La respuesta es correcta y completa en sus datos principales, pero omite el detalle e
contacto	¿Cuál es el número para averiguar dónde está la filial más cercana a mi casa?	Podés comunicarte con la sede central de MutuaLyF al 0342 452 0074 / 75 para consulta	Puedes comunicarte con la sede central al 0342 452 0074 / 75 o escribir al WhatsApp (	4.0	⚠️	medio	El bot responde correctamente la pregunta e incluye el teléfono verificado, pero agre
general	¿Tienen filial en mi localidad? ¿Cómo me entero?	MutuaLyF tiene filiales distribuidas en toda la provincia de Santa Fe en más de 100 l	Para saber si hay una filial de MutuaLyF en tu localidad, puedes comunicarte con la s	4.2	⚠️	medio	La respuesta es correcta y útil en cuanto a los datos de contacto, pero omite el dato
contacto	¿Puedo consultar por la filial por WhatsApp?	Sí, podés escribir al WhatsApp (0342) 15 4 291 192 para consultar sobre las filiales.	Sí, puedes consultar por la filial a través de WhatsApp. Solo debes escribir al númer	4.8	✅	bajo	La respuesta es correcta y relevante, incluye el número exacto y la aclaración de sol
